Date;Symbol;StartDate;EndDate;Offer;Close;Change;Std;Volume;Amount;MktCap
08/08/2012;BLMN;;;11;12,41;12,82 %;;;;
20/04/2012;BLOX;;;16;21,3;33,13 %;;;;
13/02/2015;BLPH;;;12;8,97;-25,25 %;;;;
20/06/2013;BLUE;;;17;26,39;55,24 %;;;;
18/09/2013;BNFT;;;26,5;53,55;102,08 %;;;;
28/03/2012;BNNY;;;19;35,92;89,05 %;;;;
15/10/2010;BODY;;;13;13;0,00 %;;;;
08/05/2015;BOJA;;;19;23,75;25,00 %;;;;
09/12/2010;BONA;;;8,5;6,6;-22,35 %;;;;
30/10/2014;BOOT;;;16;17,45;9,06 %;;;;
30/04/2015;BPMC;;;18;18,87;4,83 %;;;;
21/03/2014;BRDR;;;16;20;25,00 %;;;;
23/05/2013;BRSS;;;11;13,55;23,18 %;;;;
30/10/2013;BRX;;;20;20,4;2,00 %;;;;
16/06/2010;BSFT;;;9;8,3;-7,78 %;;;;
01/05/2015;BSM;;;19;18,24;-4,00 %;;;;
26/09/2012;BSMX;;;12,18;12,91;5,95 %;;;;
22/07/2015;BUFF;;;20;27,2;36,00 %;;;;
02/10/2013;BURL;;;17;25,01;47,12 %;;;;
24/02/2012;BV;;;12;16,51;37,58 %;;;;
19/06/2015;CAFD;;;21;20,49;-2,43 %;;;;
02/10/2014;CALA;;;10;9,41;-5,90 %;;;;
24/03/2010;CALX;;;13;15,1;16,15 %;;;;
31/01/2014;CARA;;;11;12,91;17,36 %;;;;
11/08/2011;CARB;;;10;12,35;23,50 %;;;;
25/06/2015;CATB;;;12;13;8,33 %;;;;
20/09/2012;CBF;;;18;18,19;1,06 %;;;;
15/06/2010;CBOE;;;29;32,49;12,03 %;;;;
05/02/2014;CBPX;;;14;15,19;8,50 %;;;;
09/04/2015;CBYL;;;5;5,56;11,20 %;;;;
13/08/2013;CCCR;;;6,5;6,39;-1,69 %;;;;
14/10/2010;CCG;;;12,5;12,51;0,08 %;;;;
01/10/2010;CCIH;;;13,9;27,15;95,32 %;;;;
18/06/2014;CCS;;;23;21,25;-7,61 %;;;;
28/09/2010;CCSC;;;16,5;24,3;47,27 %;;;;
08/02/2012;CCXI;;;10;11;10,00 %;;;;
17/07/2014;CDNA;;;10;9,05;-9,50 %;;;;
15/04/2015;CDTX;;;16;16;0,00 %;;;;
27/06/2013;CDW;;;17;18,37;8,06 %;;;;
22/04/2010;CDXS;;;13;13,26;2,00 %;;;;
15/01/2014;CELP;;;20;21,3;6,50 %;;;;
03/02/2012;CEMP;;;6;6,06;1,00 %;;;;
21/02/2012;CERE;;;13;14,8;13,85 %;;;;
10/04/2014;CERU;;;7;6,85;-2,14 %;;;;
24/09/2014;CFG;;;21,5;23,08;7,35 %;;;;
01/07/2015;CFMS;;;15;19,25;28,33 %;;;;
03/05/2012;CG;;;22;22,05;0,23 %;;;;
28/07/2011;CHEF;;;15;17,5;16,67 %;;;;
13/11/2013;CHGG;;;12,5;9,68;-22,56 %;;;;
16/07/2015;CHMA;;;16;20;25,00 %;;;;
03/10/2013;CHMI;;;20;18,48;-7,60 %;;;;
05/05/2010;CHRM;;;9,5;9,4;-1,05 %;;;;
06/11/2014;CHRS;;;13,5;12,61;-6,59 %;;;;
24/07/2012;CHUY;;;13;15,06;15,85 %;;;;
13/09/2013;CINR;;;19;18;-5,26 %;;;;
20/07/2010;CIS;;;11;10,65;-3,18 %;;;;
17/09/2014;CIVI;;;17;16,61;-2,29 %;;;;
06/05/2015;CLCD;;;10;8;-20,00 %;;;;
30/01/2014;CLDN;;;8;8,18;2,25 %;;;;
25/04/2012;CLIR;;;4;4,2;5,00 %;;;;
16/11/2011;CLVS;;;13;12,56;-3,38 %;;;;
08/05/2014;CMCM;;;14;14,1;0,71 %;;;;
06/02/2014;CMFN;;;15;15,81;5,40 %;;;;
04/11/2010;CMRE;;;12;11,85;-1,25 %;;;;
11/04/2013;CMRX;;;14;18,79;34,21 %;;;;
25/07/2013;CNAT;;;11;9,5;-13,64 %;;;;
13/02/2014;CNCE;;;14;14,18;1,29 %;;;;
13/08/2015;CNFR;;;10,5;10,5;0,00 %;;;;
25/09/2014;CNNX;;;22;30,4;38,18 %;;;;
12/02/2013;CNOB;;;28;29,65;5,89 %;;;;
20/11/2014;CNV;;;7;7,15;2,14 %;;;;
29/04/2010;CNVO;;;9;10,24;13,78 %;;;;
01/07/2015;CNXC;;;15;15,41;2,73 %;;;;
12/12/2014;CNXR;;;8;8,8;10,00 %;;;;
07/05/2015;COLL;;;12;12,29;2,42 %;;;;
25/10/2013;COMM;;;15;14,99;-0,07 %;;;;
18/01/2013;CONE;;;19;21,2;11,58 %;;;;
23/09/2010;COR;;;16;16,01;0,06 %;;;;
03/04/2014;CORI;;;8;8;0,00 %;;;;
13/06/2013;COTY;;;17,5;17,36;-0,80 %;;;;
26/09/2013;COVS;;;10;12,31;23,10 %;;;;
06/02/2015;CPPL;;;23;26,79;16,48 %;;;;
25/09/2013;CPTA;;;20;18,8;-6,00 %;;;;
24/01/2014;CRCM;;;17;24,3;42,94 %;;;;
30/10/2013;CRTO;;;31;35,39;14,16 %;;;;
12/03/2010;CRU;;;19;19;0,00 %;;;;
13/03/2014;CSLT;;;16;39,8;148,75 %;;;;
17/03/2011;CSOD;;;13;19,07;46,69 %;;;;
22/03/2012;CSTE;;;11;11,11;1,00 %;;;;
23/05/2013;CSTM;;;15;14,53;-3,13 %;;;;
31/07/2014;CTLT;;;20,5;19,99;-2,49 %;;;;
08/10/2015;CTMX;;;12;12,9;7,50 %;;;;
08/12/2010;CTP;;;13;13;0,00 %;;;;
02/08/2013;CTRL;;;16;20,5;28,13 %;;;;
06/11/2013;CUDA;;;18;21,55;19,72 %;;;;
17/01/2013;CVRR;;;25;25,05;0,20 %;;;;
09/08/2013;CVT;;;21;32,92;56,76 %;;;;
